filename,size,max_capacity,max_weight,total_weight,hexu_output,hexu_time,dp_output,dp_time,outputs_match
scale_001_varyN_n500_w200.txt,500,30863,200,51439,41975,0.012100,41975,0.009683,True
scale_002_varyN_n570_w200.txt,570,35891,200,59819,48423,0.011119,48423,0.010569,True
scale_003_varyN_n640_w200.txt,640,38811,200,64686,52778,0.011674,52778,0.011191,True
scale_004_varyN_n710_w200.txt,710,43488,200,72480,59687,0.012472,59687,0.012879,True
scale_005_varyN_n780_w200.txt,780,46644,200,77740,63684,0.013968,63684,0.014614,True
scale_006_varyN_n850_w200.txt,850,51768,200,86281,70548,0.015880,70548,0.017151,True
scale_007_varyN_n920_w200.txt,920,54669,200,91116,75335,0.017585,75335,0.019905,True
scale_008_varyN_n990_w200.txt,990,58760,200,97934,79275,0.019568,79275,0.022086,True
scale_009_varyN_n1060_w200.txt,1060,63820,200,106367,83968,0.022253,83968,0.025102,True
scale_010_varyN_n1130_w200.txt,1130,66084,200,110140,91564,0.023879,91564,0.027207,True
scale_011_varyN_n1200_w200.txt,1200,73799,200,122999,97923,0.027000,97923,0.033565,True
scale_012_varyN_n1270_w200.txt,1270,76428,200,127380,103898,0.030540,103898,0.035513,True
scale_013_varyN_n1340_w200.txt,1340,80528,200,134214,111098,0.032437,111098,0.039157,True
scale_014_varyN_n1410_w200.txt,1410,83664,200,139440,115011,0.034711,115011,0.042507,True
scale_015_varyN_n1480_w200.txt,1480,88539,200,147565,122339,0.038104,122339,0.046985,True
scale_016_varyN_n1550_w200.txt,1550,92408,200,154014,123874,0.040130,123874,0.051045,True
scale_017_varyN_n1620_w200.txt,1620,96227,200,160379,132035,0.042633,132035,0.056074,True
scale_018_varyN_n1690_w200.txt,1690,102216,200,170360,137711,0.046844,137711,0.062718,True
scale_019_varyN_n1760_w200.txt,1760,104238,200,173730,143183,0.048987,143183,0.064929,True
scale_020_varyN_n1830_w200.txt,1830,108547,200,180912,149990,0.052367,149990,0.069461,True
scale_021_varyN_n1900_w200.txt,1900,111838,200,186398,154106,0.054011,154106,0.074353,True
scale_022_varyN_n1970_w200.txt,1970,116824,200,194708,159501,0.057859,159501,0.081029,True
scale_023_varyN_n2040_w200.txt,2040,121072,200,201788,164612,0.061825,164612,0.086569,True
scale_024_varyN_n2110_w200.txt,2110,126117,200,210196,170082,0.065600,170082,0.092971,True
scale_025_varyN_n2180_w200.txt,2180,131181,200,218636,178373,0.069434,178373,0.100254,True
scale_026_varyN_n2250_w200.txt,2250,135822,200,226371,183598,0.073135,183598,0.105400,True
scale_027_varyN_n2320_w200.txt,2320,137802,200,229670,186187,0.076266,186187,0.111020,True
scale_028_varyN_n2390_w200.txt,2390,138908,200,231514,192237,0.078783,192237,0.115424,True
scale_029_varyN_n2460_w200.txt,2460,147961,200,246602,203064,0.084713,203064,0.125743,True
scale_030_varyN_n2530_w200.txt,2530,149356,200,248927,205033,0.087475,205033,0.130003,True
scale_031_varyN_n2600_w200.txt,2600,156231,200,260385,212443,0.092172,212443,0.139440,True
scale_032_varyN_n2670_w200.txt,2670,165096,200,275161,222096,0.097159,222096,0.151978,True
scale_033_varyN_n2740_w200.txt,2740,166449,200,277415,223920,0.101648,223920,0.157999,True
scale_034_varyN_n2810_w200.txt,2810,170727,200,284546,233218,0.105889,233218,0.165496,True
scale_035_varyN_n2880_w200.txt,2880,175647,200,292746,235107,0.110987,235107,0.173491,True
scale_036_varyN_n2950_w200.txt,2950,178261,200,297102,243213,0.115073,243213,0.182686,True
scale_037_varyN_n3020_w200.txt,3020,183993,200,306655,244929,0.121788,244929,0.195587,True
scale_038_varyN_n3090_w200.txt,3090,188083,200,313472,255536,0.126715,255536,0.202394,True
scale_039_varyN_n3160_w200.txt,3160,191571,200,319286,258449,0.133240,258449,0.210327,True
scale_040_varyN_n3230_w200.txt,3230,194669,200,324449,264131,0.134384,264131,0.218013,True
scale_041_varyN_n3300_w200.txt,3300,198224,200,330374,270900,0.141162,270900,0.225809,True
scale_042_varyN_n3370_w200.txt,3370,199692,200,332821,273542,0.144869,273542,0.231709,True
scale_043_varyN_n3440_w200.txt,3440,207874,200,346457,281581,0.151618,281581,0.246698,True
scale_044_varyN_n3510_w200.txt,3510,215508,200,359181,290931,0.158576,290931,0.263131,True
scale_045_varyN_n3580_w200.txt,3580,215228,200,358714,287928,0.160474,287928,0.265316,True
scale_046_varyN_n3650_w200.txt,3650,219146,200,365244,299077,0.166243,299077,0.275249,True
scale_047_varyN_n3720_w200.txt,3720,222819,200,371366,304380,0.171132,304380,0.283596,True
scale_048_varyN_n3790_w200.txt,3790,223060,200,371768,304781,0.182232,304781,0.292066,True
scale_049_varyN_n3860_w200.txt,3860,234252,200,390420,316839,0.187489,316839,0.312863,True
scale_050_varyN_n3930_w200.txt,3930,234907,200,391513,323085,0.199843,323085,0.321257,True
scale_051_varyW_n2000_w50.txt,2000,30418,50,50698,40968,0.018993,40968,0.024394,True
scale_052_varyW_n2000_w58.txt,2000,34813,58,58023,47599,0.020547,47599,0.027354,True
scale_053_varyW_n2000_w66.txt,2000,40095,66,66825,54025,0.023392,54025,0.030954,True
scale_054_varyW_n2000_w74.txt,2000,45391,74,75653,60169,0.025757,60169,0.033636,True
scale_055_varyW_n2000_w82.txt,2000,49590,82,82650,69191,0.027802,69191,0.037472,True
scale_056_varyW_n2000_w90.txt,2000,54781,90,91303,72828,0.030235,72828,0.040864,True
scale_057_varyW_n2000_w98.txt,2000,59828,98,99714,81148,0.032456,81148,0.044357,True
scale_058_varyW_n2000_w106.txt,2000,64296,106,107160,86976,0.034869,86976,0.047432,True
scale_059_varyW_n2000_w114.txt,2000,69243,114,115406,93632,0.036621,93632,0.049775,True
scale_060_varyW_n2000_w122.txt,2000,75913,122,126522,102696,0.038872,102696,0.054925,True
scale_061_varyW_n2000_w130.txt,2000,77896,130,129828,107928,0.041884,107928,0.056274,True
scale_062_varyW_n2000_w138.txt,2000,82533,138,137556,114292,0.042871,114292,0.059167,True
scale_063_varyW_n2000_w146.txt,2000,88743,146,147906,121412,0.045334,121412,0.064324,True
scale_064_varyW_n2000_w154.txt,2000,93016,154,155027,126834,0.095695,126834,0.078096,True
scale_065_varyW_n2000_w162.txt,2000,97225,162,162042,133157,0.054056,133157,0.071800,True
scale_066_varyW_n2000_w170.txt,2000,102830,170,171384,138010,0.059048,138010,0.076626,True
scale_067_varyW_n2000_w178.txt,2000,107145,178,178575,145054,0.057100,145054,0.078025,True
